"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"findler,apiauto","僚机&任务","任务领取","0","1","1","0","0"
"findler,apiauto","僚机&任务","出售僚机","0","0","1","0","0"
